Time (sec),Area-wt-avg Static Temperature at outlet (k)
287,618.2139164
288,618.5629212
289,618.9109268
290,619.2579377
291,619.6039585
292,619.9489935
293,620.2930471
294,620.6361239
295,620.978228
296,621.319364
297,621.659536
298,621.9987483
299,622.3370053
300,619.2172938
301,619.497553
302,619.7777737
303,620.0579325
304,620.3380071
305,620.6179762
306,620.8978195
307,621.1775177
308,621.4570521
309,621.7364052
310,622.01556
311,622.2945005
312,622.5732112
313,622.8516775
314,623.1298854
315,623.4078215
316,623.685473
317,623.9628277
318,624.2398739
319,624.5166006
320,624.7929971
321,625.0690533
322,625.3447596
323,625.6201066
324,625.8950856
325,626.1696882
326,626.4439064
327,626.7177325
328,626.9911592
329,627.2641797
330,627.5367871
331,627.8089753
332,628.0807382
333,628.3520701
334,628.6229654
335,628.8934191
336,629.1634262
337,629.4329819
338,629.7020818
339,629.9707216
340,630.2388973
341,630.5066051
342,630.7738412
343,631.0406023
344,631.3068851
345,631.5726865
346,631.8380035
347,632.1028334
348,632.3671735
349,632.6310214
350,632.8943747
351,633.1572313
352,633.419589
353,633.681446
354,633.9428004
355,634.2036506
356,634.4639949
357,634.7238318
358,634.98316
359,635.2419782
360,635.4655297
361,635.7227563
362,635.9794768
363,636.2356901
364,636.4913952
365,636.7465911
366,637.0012772
367,637.2554525
368,637.5091164
369,637.7622684
370,638.0149078
371,638.2670342
372,638.5186472
373,638.7697464
374,639.0203315
375,639.2704024
376,639.5199588
377,639.7690006
378,640.0175278
379,640.2655403
380,640.5130381
381,640.7600214
382,641.0064902
383,641.2524447
384,641.4978851
385,641.7428116
386,641.9872246
387,642.2311243
388,642.474511
389,642.7173852
390,642.9597473
391,643.2015977
392,643.4429369
393,643.6837654
394,643.9240837
395,644.1638924
396,644.4031921
397,644.6419834
398,644.880267
399,645.1180434
400,645.3553134
401,645.5920776
