Time (sec),Area-wt-avg Static Temperature at outlet (k)
3522,472.4822911
3523,472.4289641
3524,472.3758375
3525,472.3229096
3526,472.2701791
3527,472.2176443
3528,472.1653037
3529,472.1131559
3530,472.0611994
3531,472.0094327
3532,471.9578544
3533,471.9064631
3534,471.8552573
3535,471.8042358
3536,471.7533972
3537,471.70274
3538,471.652263
3539,471.6019649
3540,471.549698
3541,471.4997245
3542,471.4499293
3543,471.400311
3544,471.3508681
3545,471.3015993
3546,471.2525034
3547,471.2035789
3548,471.1548246
3549,471.1062392
3550,471.0578215
3551,471.0095702
3552,470.9614841
3553,470.913562
3554,470.8658027
3555,470.8182051
3556,470.770768
3557,470.7234902
3558,470.6763707
3559,470.6294083
3560,470.582602
3561,470.5359506
3562,470.4894532
3563,470.4431085
3564,470.3969157
3565,470.3508737
3566,470.3049814
3567,470.259238
3568,470.2136423
3569,470.1681934
3570,470.1228904
3571,470.0777323
3572,470.0327182
3573,469.9878471
3574,469.9431181
3575,469.8985303
3576,469.8540828
3577,469.8097748
3578,469.7656053
3579,469.7215735
3580,469.6776786
3581,469.6339196
3582,469.5902958
3583,469.5468063
3584,469.5034503
3585,469.460227
3586,469.4171356
3587,469.3741753
3588,469.3313454
3589,469.288645
3590,469.2460733
3591,469.2036297
3592,469.1613134
3593,469.1191235
3594,469.0770595
3595,469.0351206
3596,468.993306
3597,468.951615
3598,468.910047
3599,468.8686012
3600,465.8001715
